eventType,field_path,records_present,records_total,types,null_count,empty_string_count,unique_values,values_truncated,numeric_range
DEBUGMenu,data.actionType,2,2,string:2,0,0,1,False,
DEBUGMenu,data.isOpened,2,2,bool:2,0,0,2,False,
DaniEvent,data.actionType,91,91,string:91,0,0,2,False,
DaniEvent,data.toolName,91,91,string:91,0,22,5,False,
DialogueEvent,data.conversationId,1347,1347,number:1347,0,0,40,False,10 .. 118
DialogueEvent,data.dialogueEventType,1347,1347,string:1347,0,0,3,False,
DialogueEvent,data.nodeId,836,1347,number:836,0,0,193,False,0 .. 273
EndOfUnit,data.Unit,2,2,string:2,0,0,2,False,
InputEvent,data.Value,1615,1615,string:1615,0,0,1,False,
InputEvent,data.actionType,1615,1615,string:1615,0,0,9,False,
InputEvent,data.key,1615,1615,string:1615,0,1,13,False,
InputEvent,data.playerOrDrone,1615,1615,string:1615,0,0,2,False,
ObjectInterEvent,data.actionType,59,59,string:59,0,0,6,False,
ObjectInterEvent,data.objectName,59,59,string:59,0,0,9,False,
PlayerPositionEvent,data.position,578,578,object:578,0,0,0,False,
PlayerPositionEvent,data.position.x,578,578,number:578,0,0,266,False,-684.999 .. 1556.54
PlayerPositionEvent,data.position.y,578,578,number:578,0,0,223,False,-114.326 .. 219.303
PlayerPositionEvent,data.position.z,578,578,number:578,0,0,266,False,-1031.93 .. 1391.95
PuzzlePieceVisibleEvent,data.actionType,346,346,string:346,0,0,4,False,
PuzzlePieceVisibleEvent,data.pieceId,346,346,string:346,0,0,15,False,
PuzzlePieceVisibleEvent,data.timestamp,346,346,string:346,0,0,245,False,
Soil Key Puzzle,data.Soil Key Puzzle Status,4,26,string:4,0,0,2,False,
Soil Key Puzzle,data.Unit,4,26,string:4,0,0,2,False,
Soil Key Puzzle,data.actionType,22,26,string:22,0,0,2,False,
Soil Key Puzzle,data.currentSoilType,22,26,string:22,0,0,7,False,
Soil Key Puzzle,data.isCorrectSelection,22,26,string:22,0,0,2,False,
Soil Key Puzzle,data.waterLevelStatus,22,26,string:22,0,0,3,False,
Soil Key Puzzle,data.waterRetentionChange,22,26,string:22,0,0,3,False,
TerasGardenBox,data.actionType,6,6,string:6,0,0,2,False,
TerasGardenBox,data.boxID,3,6,string:3,0,0,3,False,
TerasGardenBox,data.boxId,3,6,string:3,0,0,3,False,
TerasGardenBox,data.soilType,6,6,string:6,0,0,3,False,
TopographicMapEvent,data.actionType,31,31,string:31,0,0,3,False,
TopographicMapEvent,data.featureUsed,31,31,string:31,0,0,2,False,
TopographicMapEvent,data.location,15,31,object:15,0,0,0,False,
TopographicMapEvent,data.location.x,15,31,number:15,0,0,9,False,-773.101 .. -105.636
TopographicMapEvent,data.location.y,15,31,number:15,0,0,13,False,-313.963 .. 87.6247
TopographicMapEvent,data.location.z,15,31,number:15,0,0,1,False,0 .. 0
WaterChamberEvent,data.actionType,21,21,string:21,0,0,2,False,
WaterChamberEvent,data.floor,21,21,string:21,0,0,4,False,
WaterChamberEvent,data.machineNumber,21,21,string:21,0,0,2,False,
WaterChamberEvent,data.machineType,21,21,string:21,0,0,5,False,
WaterChamberEvent,data.room,21,21,string:21,0,0,4,False,
argumentationAnswerEvent,data.actionType,5,5,string:5,0,0,1,False,
argumentationAnswerEvent,data.answerSubmitted,5,5,string:5,0,0,4,False,
argumentationAnswerEvent,data.argumentationTitle,5,5,string:5,0,0,5,False,
argumentationEvent,data.actionType,12,12,string:12,0,0,2,False,
argumentationEvent,data.argumentationDescription,12,12,string:12,0,0,5,False,
argumentationEvent,data.argumentationTitle,12,12,string:12,0,0,5,False,
argumentationNodeEvent,data.actionType,154,154,string:154,0,0,3,False,
argumentationNodeEvent,data.argumentationTitle,154,154,string:154,0,0,5,False,
argumentationNodeEvent,data.nodeName,154,154,string:154,0,0,11,False,
argumentationToolEvent,data.actionType,14,14,string:14,0,0,2,False,
argumentationToolEvent,data.argumentationTitle,14,14,string:14,0,0,4,False,
argumentationToolEvent,data.toolName,14,14,string:14,0,0,6,False,
chatEvent,data.actionKey,14,32,string:14,0,0,1,False,
chatEvent,data.actionType,18,32,string:18,0,0,3,False,
chatEvent,data.chatID,32,32,string:32,0,0,16,False,
gameStartEvent,data.<empty>,5,5,bool:5,0,0,1,False,
gameWindowFocusEvent,data.<empty>,29,29,bool:29,0,0,1,False,
gameWindowUnfocusEvent,data.<empty>,31,31,bool:31,0,0,1,False,
questEvent,data.questEventType,56,56,string:56,0,0,2,False,
questEvent,data.questID,56,56,string:56,0,0,29,False,
questEvent,data.questName,56,56,string:56,0,0,29,False,
questEvent,data.questSuccessOrFailure,24,56,string:24,0,0,1,False,
soilMachine,data.actionType,5,5,string:5,0,0,1,False,
soilMachine,data.canisterType,5,5,string:5,0,0,3,False,
soilMachine,data.floor,5,5,string:5,0,0,3,False,
soilMachine,data.machine,5,5,string:5,0,0,2,False,
soilMachine,data.row,5,5,string:5,0,0,2,False,
