eventType,sceneName,record_count,first_timestamp,last_timestamp,span_in_scene
DEBUGMenu,Unit 4 Dev,2,2026-08-13T16:29:59.087000+00:00,2026-08-13T16:30:01.095000+00:00,2.0s
DaniEvent,Unit 1 Dev,20,2026-08-13T15:29:44.740000+00:00,2026-08-13T15:46:56.884000+00:00,17m 12s
DaniEvent,Unit 2 Prod (Refactor),6,2026-08-13T15:48:25.725000+00:00,2026-08-13T15:48:25.756000+00:00,0.0s
DaniEvent,Unit 3 Dev,25,2026-08-13T15:52:45.548000+00:00,2026-08-13T16:21:50.124000+00:00,29m 4s
DaniEvent,Unit 3 Dungeon Dev,2,2026-08-13T16:07:38.143000+00:00,2026-08-13T16:07:38.160000+00:00,0.0s
DaniEvent,Unit 4 Dev,12,2026-08-13T16:23:45.886000+00:00,2026-08-13T16:44:17.768000+00:00,20m 31s
DaniEvent,Unit 4 Dev - Anderson Base,6,2026-08-13T16:40:21.337000+00:00,2026-08-13T16:43:43.407000+00:00,3m 22s
DaniEvent,Unit 4 Dev - Dungeon,4,2026-08-13T16:30:02.283000+00:00,2026-08-13T16:30:02.300000+00:00,0.0s
DaniEvent,Unit 5 Dev,2,2026-08-13T17:11:31.675000+00:00,2026-08-13T17:12:45.878000+00:00,1m 14s
DaniEvent,Unit 5 Dev - Dungeon,14,2026-08-13T17:02:23.367000+00:00,2026-08-13T17:02:45.527000+00:00,22.2s
DialogueEvent,Unit 1 Dev,148,2026-08-13T15:30:02.355000+00:00,2026-08-13T15:41:23.046000+00:00,11m 20s
DialogueEvent,Unit 2 Prod (Refactor),43,2026-08-13T15:48:27.544000+00:00,2026-08-13T15:50:18.027000+00:00,1m 50s
DialogueEvent,Unit 3 Dev,305,2026-08-13T15:52:54.166000+00:00,2026-08-13T16:21:52.341000+00:00,28m 58s
DialogueEvent,Unit 3 Dungeon Dev,118,2026-08-13T16:07:38.316000+00:00,2026-08-13T16:16:50.903000+00:00,9m 12s
DialogueEvent,Unit 4 Dev,232,2026-08-13T16:24:00.986000+00:00,2026-08-13T16:52:49.465000+00:00,28m 48s
DialogueEvent,Unit 4 Dev - Anderson Base,71,2026-08-13T16:40:22.407000+00:00,2026-08-13T16:44:03.432000+00:00,3m 41s
DialogueEvent,Unit 4 Dev - Dungeon,114,2026-08-13T16:30:02.302000+00:00,2026-08-13T16:37:11.790000+00:00,7m 9s
DialogueEvent,Unit 5 Dev,216,2026-08-13T17:09:25.132000+00:00,2026-08-13T17:21:28.957000+00:00,12m 3s
DialogueEvent,Unit 5 Dev - Dungeon,100,2026-08-13T16:56:19.330000+00:00,2026-08-13T17:09:00.305000+00:00,12m 40s
EndOfUnit,Unit 4 Dev,1,2026-08-13T16:52:49.463000+00:00,2026-08-13T16:52:49.463000+00:00,0.0s
