status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Medium,coverage,SolarStillDesignEvent,,expected event type absent although its content was played — possible logging failure,,appears in Unit(s) [5],coverage: Unit5=complete,,observed data 08-25-26 (first appearance; no written spec yet)
WARNING,Medium,duplicates,DaniEvent,,"exact duplicate records (same timestamp, scene and data)","4 group(s), 4 redundant record(s)",each gameplay moment logged once,,wenyi081326-1.stratalog.logdata.json[4029] _id=6a7de64b485cab4c9538a309 ts=2026-08-13T15:44:11.2750000Z == wenyi081326-1.stratalog.logdata.json[4030] _id=6a7de64b485cab4c9538a30b ts=2026-08-13T15:44:11.2750000Z | wenyi081326-1.stratalog.logdata.json[3994] _id=6a7de74a485cab4c9538a353 ts=2026-08-13T15:48:25.7270000Z == wenyi081326-1.stratalog.logdata.json[3993] _id=6a7de74a485cab4c9538a355 ts=2026-08-13T15:48:25.7270000Z | wenyi081326-1.stratalog.logdata.json[3800] _id=6a7de8f6485cab4c9538a4d7 ts=2026-08-13T15:55:34.3730000Z == wenyi081326-1.stratalog.logdata.json[3801] _id=6a7de8f6485cab4c9538a4d9 ts=2026-08-13T15:55:34.3730000Z,
WARNING,Medium,duplicates,questEvent,,"exact duplicate records (same timestamp, scene and data)","1 group(s), 1 redundant record(s)",each gameplay moment logged once,,wenyi081326-1.stratalog.logdata.json[202] _id=6a7dfb42485cab4c9538c15a ts=2026-08-13T17:13:38.3530000Z == wenyi081326-1.stratalog.logdata.json[203] _id=6a7dfb42485cab4c9538c15c ts=2026-08-13T17:13:38.3530000Z,
WARNING,Medium,schema,DialogueEvent,eventKey,eventKey does not match its documented format,16 mismatch(es); e.g. 'DialogueNodeEvent:31:0' vs expected 'DialogueNodeEvent:31:2',{data.dialogueEventType}:{data.conversationId}:{data.nodeId},,wenyi081326-1.stratalog.logdata.json[4338] _id=6a7de43e485cab4c9538a0a1 ts=2026-08-13T15:35:26.3340000Z | wenyi081326-1.stratalog.logdata.json[4302] _id=6a7de4a3485cab4c9538a0e9 ts=2026-08-13T15:37:07.9470000Z | wenyi081326-1.stratalog.logdata.json[4274] _id=6a7de4b6485cab4c9538a121 ts=2026-08-13T15:37:26.9390000Z,observed data (dialogue-event PDF not machine-readable)
WARNING,Medium,sequence,DaniEvent,actionType,tool open/close: close without preceding open,13 occurrence(s),every 'Close' preceded by 'Open' per toolName,,wenyi081326-1.stratalog.logdata.json[3993] _id=6a7de74a485cab4c9538a355 ts=2026-08-13T15:48:25.7270000Z | wenyi081326-1.stratalog.logdata.json[3992] _id=6a7de74a485cab4c9538a357 ts=2026-08-13T15:48:25.7540000Z | wenyi081326-1.stratalog.logdata.json[3991] _id=6a7de74a485cab4c9538a359 ts=2026-08-13T15:48:25.7550000Z,08-13-26/Investigation-results/dani-event-investigation.md
WARNING,Medium,sequence,DialogueEvent,dialogueEventType,dialogue lifecycle: finish without preceding start,6 occurrence(s),every 'DialogueFinishEvent' preceded by 'DialogueStartEvent' per conversationId,,wenyi081326-1.stratalog.logdata.json[4193] _id=6a7de550485cab4c9538a1c3 ts=2026-08-13T15:40:00.6260000Z | wenyi081326-1.stratalog.logdata.json[4112] _id=6a7de595485cab4c9538a265 ts=2026-08-13T15:41:09.7270000Z | wenyi081326-1.stratalog.logdata.json[3728] _id=6a7de9a6485cab4c9538a569 ts=2026-08-13T15:58:30.2550000Z,observed data (dialogue-event PDF not machine-readable)
WARNING,Medium,sequence,PuzzlePieceVisibleEvent,actionType,piece visibility: close without preceding open,3 occurrence(s),every 'BecameInvisible' preceded by 'BecameVisible' per pieceId,,wenyi081326-1.stratalog.logdata.json[2375] _id=6a7df0f3485cab4c9538b063 ts=2026-08-13T16:29:39.5920000Z | wenyi081326-1.stratalog.logdata.json[1694] _id=6a7df2ca485cab4c9538b5b3 ts=2026-08-13T16:37:30.0630000Z | wenyi081326-1.stratalog.logdata.json[1690] _id=6a7df2cb485cab4c9538b5c1 ts=2026-08-13T16:37:30.1790000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Medium,sequence,argumentationEvent,actionType,argumentation session: close without preceding open,2 occurrence(s),every 'argumentationSessionClose' preceded by 'argumentationSessionOpen' per argumentationTitle,,wenyi081326-1.stratalog.logdata.json[3342] _id=6a7deb1c485cab4c9538a86b ts=2026-08-13T16:04:44.6780000Z | wenyi081326-1.stratalog.logdata.json[1266] _id=6a7df43f485cab4c9538b907 ts=2026-08-13T16:43:43.4220000Z,08-13-26/Investigation-results/argumentation-event-investigation.md
WARNING,Medium,sequence,argumentationNodeEvent,actionType,node hover: close without preceding open,4 occurrence(s),every 'argumentationNodeHoverEnd' preceded by 'argumentationNodeHoverStart' per nodeName,,wenyi081326-1.stratalog.logdata.json[4161] _id=6a7de56c485cab4c9538a203 ts=2026-08-13T15:40:28.5710000Z | wenyi081326-1.stratalog.logdata.json[4155] _id=6a7de571485cab4c9538a20f ts=2026-08-13T15:40:33.1220000Z | wenyi081326-1.stratalog.logdata.json[4151] _id=6a7de574485cab4c9538a217 ts=2026-08-13T15:40:36.2900000Z,08-13-26/Investigation-results/argumentation-node-event-investigation.md
WARNING,Medium,sequence,questEvent,questEventType,quest lifecycle: finish without preceding start,1 occurrence(s),every 'questFinishEvent' preceded by 'questActiveEvent' per questID,,wenyi081326-1.stratalog.logdata.json[2585] _id=6a7deee6485cab4c9538aeb9 ts=2026-08-13T16:20:54.5470000Z,08-13-26/Investigation-results/quest-event-investigation.md
