eventType,n_intervals,interval_min_s,interval_p5_s,interval_p25_s,interval_median_s,interval_mean_s,interval_p75_s,interval_p95_s,interval_max_s,records_per_active_minute,burst_pairs,long_gaps
InputEvent,1861,0.0,0.067,0.2,0.55,4.33,1.6,12.49,553.565,13.86,63,0
DialogueEvent,1758,0.0,0.001,0.002,0.667,4.654,2.448,18.454,539.79,12.89,487,0
PuzzlePieceVisibleEvent,1136,0.0,0.0,0.001,0.032,4.113,0.105,0.905,2060.739,14.59,717,3
PlayerPositionEvent,716,9.987,9.988,9.989,10.005,10.317,10.005,10.006,81.422,5.82,0,0
argumentationNodeEvent,166,0.014,0.016,0.055,0.326,41.86,1.017,11.039,2126.349,1.43,41,4
ObjectInterEvent,80,0.001,2.031,3.889,11.896,89.054,41.729,591.065,1409.607,0.67,1,4
DaniEvent,79,0.0,0.0,0.008,11.039,96.985,64.089,558.704,1461.252,0.62,30,3
questEvent,67,0.0,0.001,6.652,72.317,121.479,177.633,429.422,721.411,0.49,13,1
TopographicMapEvent,54,0.417,0.555,0.716,2.343,68.419,14.214,170.529,2239.287,0.88,0,2
chatEvent,37,0.033,0.047,0.218,0.282,0.31,0.369,0.499,1.564,193.84,3,0
Soil Key Puzzle,33,0.301,0.361,0.45,0.9,122.757,3.435,843.847,2187.946,0.49,0,2
WaterChamberEvent,21,1.034,1.918,5.652,15.603,16.195,24.147,34.567,37.251,3.7,0,0
argumentationToolEvent,15,0.551,0.912,1.217,6.502,463.607,50.499,2482.135,3669.237,0.13,0,3
argumentationEvent,13,0.014,0.014,11.158,40.506,534.961,1146.128,2025.053,2118.279,0.11,2,4
gameWindowFocusEvent,13,16.134,36.502,60.43,293.986,496.823,870.701,1354.42,1484.895,0.12,0,4
gameWindowUnfocusEvent,13,10.043,18.405,61.563,266.416,497.075,885.259,1351.345,1481.014,0.12,0,4
soilMachine,6,2.668,2.897,4.928,15.582,26.571,43.559,66.168,71.333,2.26,0,0
TerasGardenBox,5,1.484,1.571,1.917,1.951,9.221,18.959,21.227,21.794,6.51,0,0
argumentationAnswerEvent,5,25.879,258.03,1186.633,1574.218,1389.544,1994.369,2132.169,2166.619,0.04,0,4
EndOfUnit,4,1330.201,1411.575,1737.072,1907.095,1823.379,1993.403,2117.981,2149.126,0.03,0,4
gameStartEvent,4,1030.876,1129.45,1523.748,1785.76,1723.306,1985.318,2229.727,2290.829,0.03,0,4
SolarStillDesignEvent,3,1.284,1.419,1.959,2.635,2.731,3.454,4.11,4.274,21.97,0,0
DEBUGMenu,1,4.445,4.445,4.445,4.445,4.445,4.445,4.445,4.445,13.5,0,0
