eventType,field_path,value,type,count,value_list_truncated
DEBUGMenu,data.actionType,"""DebugMenuStateChanged""",string,2,False
DEBUGMenu,data.isOpened,false,bool,1,False
DEBUGMenu,data.isOpened,true,bool,1,False
DaniEvent,data.actionType,"""Close""",string,45,False
DaniEvent,data.actionType,"""Open""",string,35,False
DaniEvent,data.toolName,"""Argumentation""",string,44,False
DaniEvent,data.toolName,"""Map""",string,23,False
DaniEvent,data.toolName,"""""",string,10,False
DaniEvent,data.toolName,"""Settings""",string,2,False
DaniEvent,data.toolName,"""Chat""",string,1,False
DialogueEvent,data.conversationId,18,number,165,False
DialogueEvent,data.conversationId,10,number,145,False
DialogueEvent,data.conversationId,82,number,120,False
DialogueEvent,data.conversationId,91,number,115,False
DialogueEvent,data.conversationId,92,number,89,False
DialogueEvent,data.conversationId,79,number,85,False
DialogueEvent,data.conversationId,21,number,73,False
DialogueEvent,data.conversationId,30,number,63,False
DialogueEvent,data.conversationId,11,number,58,False
DialogueEvent,data.conversationId,20,number,58,False
DialogueEvent,data.conversationId,95,number,51,False
DialogueEvent,data.conversationId,31,number,50,False
DialogueEvent,data.conversationId,99,number,49,False
DialogueEvent,data.conversationId,105,number,47,False
DialogueEvent,data.conversationId,19,number,45,False
DialogueEvent,data.conversationId,109,number,38,False
DialogueEvent,data.conversationId,23,number,37,False
DialogueEvent,data.conversationId,98,number,37,False
DialogueEvent,data.conversationId,117,number,33,False
DialogueEvent,data.conversationId,103,number,31,False
DialogueEvent,data.conversationId,104,number,30,False
DialogueEvent,data.conversationId,118,number,30,False
DialogueEvent,data.conversationId,26,number,30,False
DialogueEvent,data.conversationId,33,number,25,False
DialogueEvent,data.conversationId,73,number,24,False
DialogueEvent,data.conversationId,22,number,23,False
DialogueEvent,data.conversationId,88,number,20,False
DialogueEvent,data.conversationId,96,number,20,False
DialogueEvent,data.conversationId,75,number,18,False
DialogueEvent,data.conversationId,32,number,13,False
DialogueEvent,data.conversationId,35,number,13,False
DialogueEvent,data.conversationId,36,number,13,False
DialogueEvent,data.conversationId,114,number,12,False
DialogueEvent,data.conversationId,116,number,12,False
DialogueEvent,data.conversationId,17,number,11,False
DialogueEvent,data.conversationId,15,number,9,False
DialogueEvent,data.conversationId,8,number,9,False
DialogueEvent,data.conversationId,83,number,9,False
DialogueEvent,data.conversationId,37,number,7,False
DialogueEvent,data.conversationId,106,number,5,False
DialogueEvent,data.conversationId,107,number,5,False
DialogueEvent,data.conversationId,100,number,3,False
DialogueEvent,data.conversationId,111,number,3,False
DialogueEvent,data.conversationId,13,number,3,False
DialogueEvent,data.conversationId,16,number,3,False
DialogueEvent,data.conversationId,27,number,3,False
DialogueEvent,data.conversationId,68,number,3,False
DialogueEvent,data.conversationId,70,number,3,False
DialogueEvent,data.conversationId,78,number,3,False
DialogueEvent,data.conversationId,84,number,3,False
DialogueEvent,data.conversationId,90,number,3,False
DialogueEvent,data.conversationId,74,number,2,False
DialogueEvent,data.dialogueEventType,"""DialogueNodeEvent""",string,1124,False
DialogueEvent,data.dialogueEventType,"""DialogueStartEvent""",string,319,False
DialogueEvent,data.dialogueEventType,"""DialogueFinishEvent""",string,316,False
DialogueEvent,data.nodeId,0,number,35,True
DialogueEvent,data.nodeId,1,number,32,True
DialogueEvent,data.nodeId,2,number,25,True
DialogueEvent,data.nodeId,5,number,23,True
DialogueEvent,data.nodeId,7,number,21,True
DialogueEvent,data.nodeId,8,number,20,True
DialogueEvent,data.nodeId,4,number,19,True
DialogueEvent,data.nodeId,10,number,17,True
DialogueEvent,data.nodeId,29,number,16,True
DialogueEvent,data.nodeId,3,number,16,True
DialogueEvent,data.nodeId,20,number,15,True
DialogueEvent,data.nodeId,32,number,15,True
DialogueEvent,data.nodeId,6,number,15,True
DialogueEvent,data.nodeId,19,number,14,True
DialogueEvent,data.nodeId,21,number,14,True
DialogueEvent,data.nodeId,25,number,14,True
DialogueEvent,data.nodeId,9,number,14,True
DialogueEvent,data.nodeId,12,number,13,True
DialogueEvent,data.nodeId,13,number,13,True
DialogueEvent,data.nodeId,15,number,13,True
DialogueEvent,data.nodeId,17,number,13,True
DialogueEvent,data.nodeId,22,number,13,True
DialogueEvent,data.nodeId,24,number,13,True
DialogueEvent,data.nodeId,35,number,13,True
DialogueEvent,data.nodeId,39,number,13,True
DialogueEvent,data.nodeId,26,number,12,True
DialogueEvent,data.nodeId,31,number,12,True
DialogueEvent,data.nodeId,33,number,12,True
DialogueEvent,data.nodeId,65,number,12,True
DialogueEvent,data.nodeId,16,number,11,True
DialogueEvent,data.nodeId,34,number,11,True
DialogueEvent,data.nodeId,36,number,11,True
DialogueEvent,data.nodeId,50,number,11,True
DialogueEvent,data.nodeId,61,number,11,True
DialogueEvent,data.nodeId,64,number,11,True
DialogueEvent,data.nodeId,28,number,10,True
DialogueEvent,data.nodeId,30,number,10,True
DialogueEvent,data.nodeId,42,number,10,True
DialogueEvent,data.nodeId,14,number,9,True
DialogueEvent,data.nodeId,18,number,9,True
DialogueEvent,data.nodeId,23,number,9,True
DialogueEvent,data.nodeId,27,number,9,True
DialogueEvent,data.nodeId,38,number,9,True
DialogueEvent,data.nodeId,41,number,9,True
DialogueEvent,data.nodeId,59,number,9,True
DialogueEvent,data.nodeId,69,number,9,True
DialogueEvent,data.nodeId,11,number,8,True
DialogueEvent,data.nodeId,141,number,8,True
DialogueEvent,data.nodeId,37,number,8,True
DialogueEvent,data.nodeId,60,number,8,True
DialogueEvent,data.nodeId,67,number,8,True
DialogueEvent,data.nodeId,73,number,8,True
DialogueEvent,data.nodeId,48,number,7,True
DialogueEvent,data.nodeId,55,number,7,True
DialogueEvent,data.nodeId,56,number,7,True
DialogueEvent,data.nodeId,63,number,7,True
DialogueEvent,data.nodeId,68,number,7,True
DialogueEvent,data.nodeId,70,number,7,True
DialogueEvent,data.nodeId,80,number,7,True
DialogueEvent,data.nodeId,40,number,6,True
EndOfUnit,data.Unit,"""1""",string,1,False
EndOfUnit,data.Unit,"""2""",string,1,False
EndOfUnit,data.Unit,"""3""",string,1,False
EndOfUnit,data.Unit,"""4""",string,1,False
EndOfUnit,data.Unit,"""5""",string,1,False
InputEvent,data.Value,"""pressed""",string,1862,False
InputEvent,data.actionType,"""Move""",string,1289,False
InputEvent,data.actionType,"""Interact""",string,278,False
InputEvent,data.actionType,"""Sprint""",string,211,False
InputEvent,data.actionType,"""Ascend""",string,37,False
InputEvent,data.actionType,"""Hoverboard""",string,14,False
InputEvent,data.actionType,"""Jump""",string,13,False
InputEvent,data.actionType,"""Descend""",string,11,False
InputEvent,data.actionType,"""Map""",string,7,False
InputEvent,data.actionType,"""Pause""",string,1,False
InputEvent,data.actionType,"""ToggleDebug""",string,1,False
InputEvent,data.key,"""w""",string,495,False
InputEvent,data.key,"""a""",string,279,False
InputEvent,data.key,"""leftButton""",string,272,False
InputEvent,data.key,"""s""",string,272,False
InputEvent,data.key,"""d""",string,243,False
InputEvent,data.key,"""leftShift""",string,222,False
InputEvent,data.key,"""space""",string,33,False
InputEvent,data.key,"""e""",string,23,False
InputEvent,data.key,"""h""",string,12,False
InputEvent,data.key,"""m""",string,7,False
InputEvent,data.key,"""""",string,2,False
InputEvent,data.key,"""backquote""",string,1,False
InputEvent,data.key,"""tab""",string,1,False
InputEvent,data.playerOrDrone,"""Player""",string,1619,False
InputEvent,data.playerOrDrone,"""Drone""",string,243,False
ObjectInterEvent,data.actionType,"""Press E to Pick up""",string,36,False
ObjectInterEvent,data.actionType,"""Press E to Install""",string,11,False
ObjectInterEvent,data.actionType,"""Press E to Scan""",string,9,False
ObjectInterEvent,data.actionType,"""TalkTo""",string,7,False
ObjectInterEvent,data.actionType,"""Press E to Place""",string,6,False
ObjectInterEvent,data.actionType,"""Press E to Operate""",string,4,False
ObjectInterEvent,data.actionType,"""E to Talk""",string,3,False
