session,sceneName,first_timestamp,last_timestamp,duration,duration_s,n_events,event_types
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,MainMenu,2026-08-31T17:29:07.769000+00:00,2026-08-31T17:29:07.769000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 1 Dev,2026-08-31T17:29:10.600000+00:00,2026-08-31T17:44:38.692000+00:00,15m 28s,928.1,500,DaniEvent:1; DialogueEvent:193; EndOfUnit:1; InputEvent:119; ObjectInterEvent:13; PlayerPositionEvent:93; argumentationAnswerEvent:3; argumentationEvent:4; argumentationNodeEvent:42; argumentationToolEvent:9; gameWindowFocusEvent:5; gameWindowUnfocusEvent:5; questEvent:12
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,MainMenu,2026-08-31T23:06:28.780000+00:00,2026-08-31T23:06:28.780000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 2 Prod (Refactor),2026-08-31T23:06:31.120000+00:00,2026-08-31T23:33:22.930000+00:00,26m 51s,1611.8,1823,DaniEvent:18; DialogueEvent:493; EndOfUnit:1; InputEvent:400; ObjectInterEvent:26; PlayerPositionEvent:156; PuzzlePieceVisibleEvent:622; Soil Key Puzzle:12; TopographicMapEvent:43; argumentationAnswerEvent:1; argumentationEvent:2; argumentationNodeEvent:33; argumentationToolEvent:2; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:12
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,MainMenu,2026-08-31T23:33:30.090000+00:00,2026-08-31T23:33:30.090000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 3 Dev,2026-08-31T23:33:32.381000+00:00,2026-08-31T23:46:16.462000+00:00,12m 44s,764.1,550,DaniEvent:10; DialogueEvent:183; InputEvent:211; ObjectInterEvent:6; PlayerPositionEvent:76; Soil Key Puzzle:12; TopographicMapEvent:8; argumentationAnswerEvent:1; argumentationEvent:3; argumentationNodeEvent:31; argumentationToolEvent:2; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:5
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 3 Dungeon Dev,2026-08-31T23:46:18.740000+00:00,2026-08-31T23:52:03.143000+00:00,5m 44s,344.4,475,DialogueEvent:119; InputEvent:182; ObjectInterEvent:23; PlayerPositionEvent:35; PuzzlePieceVisibleEvent:112; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:2
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 3 Dev,2026-08-31T23:52:06.084000+00:00,2026-08-31T23:55:35.598000+00:00,3m 29s,209.5,196,DaniEvent:10; DialogueEvent:90; EndOfUnit:1; InputEvent:52; ObjectInterEvent:5; PlayerPositionEvent:20; TopographicMapEvent:12; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:4
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,MainMenu,2026-08-31T23:55:46.472000+00:00,2026-08-31T23:55:46.472000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 4 Dev,2026-08-31T23:55:48.935000+00:00,2026-09-01T00:01:32.967000+00:00,5m 44s,344.0,318,DialogueEvent:21; InputEvent:65; ObjectInterEvent:2; PlayerPositionEvent:35; PuzzlePieceVisibleEvent:186; Soil Key Puzzle:8; questEvent:1
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 4 Dev - Dungeon,2026-09-01T00:01:34.716000+00:00,2026-09-01T00:07:37.271000+00:00,6m 2s,362.6,596,DialogueEvent:99; InputEvent:387; ObjectInterEvent:57; PlayerPositionEvent:37; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:9; soilMachine:5
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 4 Dev,2026-09-01T00:07:38.722000+00:00,2026-09-01T00:10:19.219000+00:00,2m 40s,160.5,212,DialogueEvent:58; InputEvent:34; ObjectInterEvent:2; PlayerPositionEvent:17; PuzzlePieceVisibleEvent:98; questEvent:3
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 4 Dev - Anderson Base,2026-09-01T00:10:21.797000+00:00,2026-09-01T00:13:33.117000+00:00,3m 11s,191.3,184,DaniEvent:2; DialogueEvent:73; InputEvent:51; ObjectInterEvent:9; PlayerPositionEvent:20; argumentationAnswerEvent:1; argumentationEvent:3; argumentationNodeEvent:23; questEvent:2
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 4 Dev,2026-09-01T00:13:42.205000+00:00,2026-09-01T00:21:07.939000+00:00,7m 25s,445.7,275,DialogueEvent:153; EndOfUnit:1; InputEvent:51; ObjectInterEvent:11; PlayerPositionEvent:45; TerasGardenBox:6; gameWindowFocusEvent:2; gameWindowUnfocusEvent:2; questEvent:4
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,MainMenu,2026-09-01T00:21:19.596000+00:00,2026-09-01T00:21:19.596000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 5 Dev - Dungeon,2026-09-01T00:21:21.531000+00:00,2026-09-01T00:33:15.385000+00:00,11m 53s,713.9,459,DialogueEvent:84; InputEvent:261; ObjectInterEvent:6; PlayerPositionEvent:72; WaterChamberEvent:18; chatEvent:1; gameWindowFocusEvent:5; gameWindowUnfocusEvent:5; questEvent:7
wenyi083126-1.stratalog.logdata.json:6a95b79ce2ada9cb13ea6f13,Unit 5 Dev,2026-09-01T00:33:23.416000+00:00,2026-09-01T00:41:38.454000+00:00,8m 15s,495.0,384,DaniEvent:1; DialogueEvent:209; EndOfUnit:1; InputEvent:70; ObjectInterEvent:6; PlayerPositionEvent:49; SolarStillDesignEvent:4; argumentationAnswerEvent:1; argumentationEvent:2; argumentationNodeEvent:26; argumentationToolEvent:5; chatEvent:1; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:7
