eventType,field_path,records_present,records_total,types,null_count,empty_string_count,unique_values,values_truncated,numeric_range
DEBUGMenu,data.actionType,6,6,string:6,0,0,1,False,
DEBUGMenu,data.isOpened,6,6,bool:6,0,0,2,False,
DaniEvent,data.actionType,16,16,string:16,0,0,2,False,
DaniEvent,data.toolName,16,16,string:16,0,14,2,False,
DialogueEvent,data.conversationId,1737,1737,number:1737,0,0,52,False,8 .. 118
DialogueEvent,data.dialogueEventType,1737,1737,string:1737,0,0,3,False,
DialogueEvent,data.nodeId,1117,1737,number:1117,0,0,216,False,0 .. 290
EndOfUnit,data.Unit,5,5,string:5,0,0,5,False,
InputEvent,data.Value,1630,1630,string:1630,0,0,1,False,
InputEvent,data.actionType,1630,1630,string:1630,0,0,10,False,
InputEvent,data.key,1630,1630,string:1630,0,2,13,False,
InputEvent,data.playerOrDrone,1630,1630,string:1630,0,0,2,False,
ObjectInterEvent,data.actionType,178,178,string:178,0,0,40,False,
ObjectInterEvent,data.objectName,178,178,string:178,0,0,102,False,
PlayerPositionEvent,data.position,638,638,object:638,0,0,0,False,
PlayerPositionEvent,data.position.x,638,638,number:638,0,0,291,False,-682.078 .. 1560.37
PlayerPositionEvent,data.position.y,638,638,number:638,0,0,250,False,-112.491 .. 222.005
PlayerPositionEvent,data.position.z,638,638,number:638,0,0,291,False,-1029.5 .. 1808.96
PuzzlePieceVisibleEvent,data.actionType,1182,1182,string:1182,0,0,4,False,
PuzzlePieceVisibleEvent,data.pieceId,1182,1182,string:1182,0,0,40,False,
PuzzlePieceVisibleEvent,data.timestamp,1182,1182,string:1182,0,0,780,False,
Soil Key Puzzle,data.Soil Key Puzzle Status,8,36,string:8,0,0,2,False,
Soil Key Puzzle,data.Unit,8,36,string:8,0,0,3,False,
Soil Key Puzzle,data.actionType,28,36,string:28,0,0,2,False,
Soil Key Puzzle,data.currentSoilType,28,36,string:28,0,0,7,False,
Soil Key Puzzle,data.isCorrectSelection,28,36,string:28,0,0,2,False,
Soil Key Puzzle,data.waterLevelStatus,28,36,string:28,0,0,3,False,
Soil Key Puzzle,data.waterRetentionChange,28,36,string:28,0,0,3,False,
SolarStillDesignEvent,data.actionType,4,4,string:4,0,0,2,False,
SolarStillDesignEvent,data.designSelections,1,4,object:1,0,0,0,False,
SolarStillDesignEvent,data.designSelections.glassRoofTemperature,1,4,string:1,0,0,1,False,
SolarStillDesignEvent,data.designSelections.roofCovering,1,4,string:1,0,0,1,False,
SolarStillDesignEvent,data.designSelections.roofStyle,1,4,string:1,0,0,1,False,
SolarStillDesignEvent,data.featureUsed,4,4,string:4,0,0,4,False,
SolarStillDesignEvent,data.selectedOption,3,4,string:3,0,0,3,False,
TerasGardenBox,data.actionType,8,8,string:8,0,4,2,False,
TerasGardenBox,data.boxId,8,8,string:8,0,0,3,False,
TerasGardenBox,data.soilType,8,8,string:8,0,0,2,False,
TopographicMapEvent,data.actionType,44,44,string:44,0,0,7,False,
TopographicMapEvent,data.featureUsed,44,44,string:44,0,0,3,False,
TopographicMapEvent,data.legendName,3,44,string:3,0,0,2,False,
TopographicMapEvent,data.location,15,44,object:15,0,0,0,False,
TopographicMapEvent,data.location.x,15,44,number:15,0,0,11,False,-270.864 .. -140.706
TopographicMapEvent,data.location.y,15,44,number:15,0,0,12,False,-154.582 .. 109.115
TopographicMapEvent,data.location.z,15,44,number:15,0,0,1,False,0 .. 0
WaterChamberEvent,data.actionType,12,12,string:12,0,0,2,False,
WaterChamberEvent,data.floor,12,12,string:12,0,0,3,False,
WaterChamberEvent,data.machineNumber,12,12,string:12,0,0,1,False,
WaterChamberEvent,data.machineType,12,12,string:12,0,0,3,False,
WaterChamberEvent,data.room,12,12,string:12,0,0,3,False,
argumentationAnswerEvent,data.actionType,6,6,string:6,0,0,1,False,
argumentationAnswerEvent,data.answerSubmitted,6,6,string:6,0,0,5,False,
argumentationAnswerEvent,data.argumentationTitle,6,6,string:6,0,0,6,False,
argumentationEvent,data.actionType,14,14,string:14,0,0,2,False,
argumentationEvent,data.argumentationDescription,14,14,string:14,0,0,6,False,
argumentationEvent,data.argumentationTitle,14,14,string:14,0,0,6,False,
argumentationNodeEvent,data.actionType,133,133,string:133,0,0,3,False,
argumentationNodeEvent,data.argumentationTitle,133,133,string:133,0,0,6,False,
