eventType,sceneName,record_count,first_timestamp,last_timestamp,span_in_scene
DEBUGMenu,Unit 3 Dev,2,2026-09-04T18:46:45.318000+00:00,2026-09-04T18:46:53.178000+00:00,7.9s
DEBUGMenu,Unit 4 Dev,2,2026-09-04T19:06:40.606000+00:00,2026-09-04T19:06:44.597000+00:00,4.0s
DEBUGMenu,Unit 5 Dev - Dungeon,2,2026-09-04T19:32:41.805000+00:00,2026-09-04T19:32:45.589000+00:00,3.8s
DaniEvent,Unit 2 Prod (Refactor),6,2026-09-04T18:19:24.350000+00:00,2026-09-04T18:19:38.422000+00:00,14.1s
DaniEvent,Unit 3 Dev,2,2026-09-04T18:53:41.733000+00:00,2026-09-04T18:53:42.399000+00:00,0.7s
DaniEvent,Unit 4 Dev,6,2026-09-04T19:01:57.319000+00:00,2026-09-04T19:02:13.626000+00:00,16.3s
DaniEvent,Unit 5 Dev,2,2026-09-04T19:36:10.604000+00:00,2026-09-04T19:58:38.762000+00:00,22m 28s
DialogueEvent,Unit 1 Dev,187,2026-09-04T17:47:44.446000+00:00,2026-09-04T18:00:11.782000+00:00,12m 27s
DialogueEvent,Unit 2 Prod (Refactor),490,2026-09-04T18:01:31.957000+00:00,2026-09-04T18:30:43.160000+00:00,29m 11s
DialogueEvent,Unit 3 Dev,265,2026-09-04T18:32:49.202000+00:00,2026-09-04T18:55:26.250000+00:00,22m 37s
DialogueEvent,Unit 3 Dungeon Dev,115,2026-09-04T18:47:16.816000+00:00,2026-09-04T18:52:16.544000+00:00,4m 59s
DialogueEvent,Unit 4 Dev,241,2026-09-04T18:55:49.361000+00:00,2026-09-04T19:27:06.059000+00:00,31m 16s
DialogueEvent,Unit 4 Dev - Anderson Base,71,2026-09-04T19:16:02.851000+00:00,2026-09-04T19:21:38.833000+00:00,5m 35s
DialogueEvent,Unit 4 Dev - Dungeon,86,2026-09-04T19:04:44.047000+00:00,2026-09-04T19:12:57.085000+00:00,8m 13s
DialogueEvent,Unit 5 Dev,222,2026-09-04T19:34:50.237000+00:00,2026-09-04T20:04:05.054000+00:00,29m 14s
DialogueEvent,Unit 5 Dev - Dungeon,60,2026-09-04T19:27:29.206000+00:00,2026-09-04T19:34:25.831000+00:00,6m 56s
EndOfUnit,Unit 1 Dev,1,2026-09-04T18:00:14.183000+00:00,2026-09-04T18:00:14.183000+00:00,0.0s
EndOfUnit,Unit 2 Prod (Refactor),1,2026-09-04T18:30:43.157000+00:00,2026-09-04T18:30:43.157000+00:00,0.0s
EndOfUnit,Unit 3 Dev,1,2026-09-04T18:55:26.248000+00:00,2026-09-04T18:55:26.248000+00:00,0.0s
EndOfUnit,Unit 4 Dev,1,2026-09-04T19:27:06.056000+00:00,2026-09-04T19:27:06.056000+00:00,0.0s
EndOfUnit,Unit 5 Dev,1,2026-09-04T20:04:07.221000+00:00,2026-09-04T20:04:07.221000+00:00,0.0s
InputEvent,Unit 1 Dev,82,2026-09-04T17:48:30.814000+00:00,2026-09-04T17:59:32.014000+00:00,11m 1s
InputEvent,Unit 2 Prod (Refactor),351,2026-09-04T18:01:49.695000+00:00,2026-09-04T18:30:33.585000+00:00,28m 43s
InputEvent,Unit 3 Dev,222,2026-09-04T18:34:11.906000+00:00,2026-09-04T18:55:20.045000+00:00,21m 8s
InputEvent,Unit 3 Dungeon Dev,147,2026-09-04T18:47:01.107000+00:00,2026-09-04T18:52:32.131000+00:00,5m 31s
