eventType,record_count,percent_of_total,session_count,first_timestamp,last_timestamp,active_span,scene_count,observed_scenes,eventKey_records,data_fields,null_value_count
DialogueEvent,1737,29.76,1,2026-09-04T17:47:44.446000+00:00,2026-09-04T20:04:05.054000+00:00,2h 16m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,1117,conversationId; dialogueEventType; nodeId,0
InputEvent,1630,27.93,1,2026-09-04T17:48:30.814000+00:00,2026-09-04T20:04:07.223000+00:00,2h 15m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,Value; actionType; key; playerOrDrone,0
PuzzlePieceVisibleEvent,1182,20.25,1,2026-09-04T18:03:05.416000+00:00,2026-09-04T19:30:22.626000+00:00,1h 27m,4,Unit 2 Prod (Refactor); Unit 3 Dungeon Dev; Unit 4 Dev; Unit 5 Dev - Dungeon,0,actionType; pieceId; timestamp,0
PlayerPositionEvent,638,10.93,1,2026-09-04T17:47:27.846000+00:00,2026-09-04T20:04:04.019000+00:00,2h 16m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,position,0
ObjectInterEvent,178,3.05,1,2026-09-04T17:48:55.792000+00:00,2026-09-04T20:04:07.223000+00:00,2h 15m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,actionType; objectName,0
argumentationNodeEvent,133,2.28,1,2026-09-04T17:57:18.799000+00:00,2026-09-04T19:59:59.163000+00:00,2h 2m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev - Anderson Base; Unit 5 Dev,0,actionType; argumentationTitle; nodeName,0
questEvent,69,1.18,1,2026-09-04T17:47:44.442000+00:00,2026-09-04T20:03:29.370000+00:00,2h 15m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,69,questEventType; questID; questName; questSuccessOrFailure,0
TopographicMapEvent,44,0.75,1,2026-09-04T18:03:23.291000+00:00,2026-09-04T18:53:41.732000+00:00,50m 18s,2,Unit 2 Prod (Refactor); Unit 3 Dev,0,actionType; featureUsed; legendName; location,0
Soil Key Puzzle,36,0.62,1,2026-09-04T18:05:50.695000+00:00,2026-09-04T19:03:51.691000+00:00,58m 0s,3,Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev,0,Soil Key Puzzle Status; Unit; actionType; currentSoilType; isCorrectSelection; waterLevelStatus; waterRetentionChange,0
chatEvent,32,0.55,1,2026-09-04T18:19:25.319000+00:00,2026-09-04T19:34:33.827000+00:00,1h 15m,3,Unit 2 Prod (Refactor); Unit 5 Dev; Unit 5 Dev - Dungeon,0,actionKey; actionType; chatID,0
