kind,eventType,ref,scene,data
exact,DialogueEvent,wenyi090326-3.stratalog.logdata.json[9523] _id=6a9c8da0485cab4c95400a70 ts=2026-09-05T21:46:08.7650000Z,Unit 2 Prod (Refactor),"{""conversationId"": 20, ""dialogueEventType"": ""DialogueNodeEvent"", ""nodeId"": 33}"
exact,DialogueEvent,wenyi090326-3.stratalog.logdata.json[9524] _id=6a9c8da0485cab4c95400a72 ts=2026-09-05T21:46:08.7650000Z,Unit 2 Prod (Refactor),"{""conversationId"": 20, ""dialogueEventType"": ""DialogueNodeEvent"", ""nodeId"": 33}"
exact,DialogueEvent,wenyi090326-3.stratalog.logdata.json[5228] _id=6a9c9bbe485cab4c95402c06 ts=2026-09-05T22:46:23.0890000Z,Unit 3 Dev,"{""conversationId"": 73, ""dialogueEventType"": ""DialogueNodeEvent"", ""nodeId"": 212}"
exact,DialogueEvent,wenyi090326-3.stratalog.logdata.json[5229] _id=6a9c9bbf485cab4c95402c08 ts=2026-09-05T22:46:23.0890000Z,Unit 3 Dev,"{""conversationId"": 73, ""dialogueEventType"": ""DialogueNodeEvent"", ""nodeId"": 212}"
exact,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[2638] _id=6a9ca4b9485cab4c95404048 ts=2026-09-05T23:24:41.3560000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[2637] _id=6a9ca4b9485cab4c9540404a ts=2026-09-05T23:24:41.3560000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[2607] _id=6a9ca4d3485cab4c95404086 ts=2026-09-05T23:25:08.0350000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[2606] _id=6a9ca4d3485cab4c95404088 ts=2026-09-05T23:25:08.0350000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
near,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[11468] _id=6a9c85b6485cab4c953ffb32 ts=2026-09-05T21:12:22.4900000Z ~ wenyi090326-3.stratalog.logdata.json[11467] _id=6a9c85b6485cab4c953ffb34 ts=2026-09-05T21:12:22.4910000Z (1ms),Unit 1 Dev,"{""actionType"": ""Press E to Open Locker"", ""objectName"": ""Player Locker""}"
near,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[11279] _id=6a9c871a485cab4c953ffcae ts=2026-09-05T21:18:18.9820000Z ~ wenyi090326-3.stratalog.logdata.json[11277] _id=6a9c871b485cab4c953ffcb2 ts=2026-09-05T21:18:19.7500000Z (768ms),Unit 1 Dev,"{""actionType"": ""TalkTo"", ""objectName"": ""Jasper""}"
near,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[11050] _id=6a9c8888485cab4c953ffe7e ts=2026-09-05T21:24:24.6910000Z ~ wenyi090326-3.stratalog.logdata.json[11049] _id=6a9c8888485cab4c953ffe80 ts=2026-09-05T21:24:24.6920000Z (1ms),Unit 1 Dev,"{""actionType"": ""Press E to Open Locker"", ""objectName"": ""Player Locker""}"
near,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[2956] _id=6a9ca39f485cab4c95403dcc ts=2026-09-05T23:19:59.3880000Z ~ wenyi090326-3.stratalog.logdata.json[2953] _id=6a9ca3a0485cab4c95403dd2 ts=2026-09-05T23:20:00.1550000Z (767ms),Unit 4 Dev - Dungeon,"{""actionType"": ""Press E to Switch Canister"", ""objectName"": ""SAND""}"
near,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[2953] _id=6a9ca3a0485cab4c95403dd2 ts=2026-09-05T23:20:00.1550000Z ~ wenyi090326-3.stratalog.logdata.json[2951] _id=6a9ca3a0485cab4c95403dd8 ts=2026-09-05T23:20:00.6880000Z (533ms),Unit 4 Dev - Dungeon,"{""actionType"": ""Press E to Switch Canister"", ""objectName"": ""SAND""}"
near,ObjectInterEvent,wenyi090326-3.stratalog.logdata.json[539] _id=6a9caba2485cab4c954050b4 ts=2026-09-05T23:54:10.1710000Z ~ wenyi090326-3.stratalog.logdata.json[536] _id=6a9caba2485cab4c954050b8 ts=2026-09-05T23:54:10.9680000Z (797ms),Unit 5 Dev,"{""actionType"": ""Press E to examine"", ""objectName"": ""Hygrometer""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9191] _id=6a9c8fc0485cab4c95400d0e ts=2026-09-05T21:55:11.4880000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:11.4880000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9192] _id=6a9c8fc0485cab4c95400d10 ts=2026-09-05T21:55:11.4880000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:11.4880000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9186] _id=6a9c8fc0485cab4c95400d18 ts=2026-09-05T21:55:11.9900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:11.9900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9185] _id=6a9c8fc0485cab4c95400d1a ts=2026-09-05T21:55:11.9900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:11.9900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9183] _id=6a9c8fc0485cab4c95400d1c ts=2026-09-05T21:55:11.9900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:11.9900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9184] _id=6a9c8fc0485cab4c95400d1e ts=2026-09-05T21:55:11.9900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:11.9900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9158] _id=6a9c8fc3485cab4c95400d4a ts=2026-09-05T21:55:13.5560000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:13.5560000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9159] _id=6a9c8fc3485cab4c95400d4c ts=2026-09-05T21:55:13.5560000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:13.5560000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9161] _id=6a9c8fc3485cab4c95400d52 ts=2026-09-05T21:55:13.5560000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:13.5560000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9118] _id=6a9c8fc7485cab4c95400da6 ts=2026-09-05T21:55:18.0270000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:18.0270000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9117] _id=6a9c8fc7485cab4c95400da8 ts=2026-09-05T21:55:18.0270000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:18.0270000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9119] _id=6a9c8fc7485cab4c95400daa ts=2026-09-05T21:55:18.0270000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:18.0270000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9098] _id=6a9c8fc9485cab4c95400dc8 ts=2026-09-05T21:55:19.7270000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:19.7270000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9099] _id=6a9c8fc9485cab4c95400dca ts=2026-09-05T21:55:19.7270000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:19.7270000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9071] _id=6a9c8fcb485cab4c95400dfe ts=2026-09-05T21:55:21.3600000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:21.3600000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[9070] _id=6a9c8fcb485cab4c95400e02 ts=2026-09-05T21:55:21.3600000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:21.3600000Z""}"
