session,sceneName,first_timestamp,last_timestamp,duration,duration_s,n_events,event_types
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T21:10:39.937000+00:00,2026-09-05T21:10:39.937000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Transition,2026-09-05T21:10:43.298000+00:00,2026-09-05T21:10:45.141000+00:00,1.8s,1.8,2,gameWindowFocusEvent:1; gameWindowUnfocusEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 1 Dev,2026-09-05T21:10:45.693000+00:00,2026-09-05T21:19:55.921000+00:00,9m 10s,550.2,390,DialogueEvent:152; InputEvent:104; ObjectInterEvent:15; PlayerPositionEvent:55; argumentationAnswerEvent:4; argumentationEvent:4; argumentationNodeEvent:34; argumentationToolEvent:5; gameWindowFocusEvent:3; gameWindowUnfocusEvent:3; questEvent:11
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T21:20:32.442000+00:00,2026-09-05T21:20:32.442000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 1 Dev,2026-09-05T21:20:35.385000+00:00,2026-09-05T21:20:45.277000+00:00,9.9s,9.9,5,PlayerPositionEvent:1; gameWindowFocusEvent:1; gameWindowUnfocusEvent:2; questEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T21:21:29.033000+00:00,2026-09-05T21:21:29.033000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 1 Dev,2026-09-05T21:21:36.141000+00:00,2026-09-05T21:34:41.060000+00:00,13m 4s,784.9,497,DialogueEvent:195; EndOfUnit:1; InputEvent:133; ObjectInterEvent:10; PlayerPositionEvent:79; argumentationAnswerEvent:4; argumentationEvent:4; argumentationNodeEvent:48; argumentationToolEvent:3; gameWindowFocusEvent:4; gameWindowUnfocusEvent:4; questEvent:12
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,PodsEscapingCopernicus Cutscene,2026-09-05T21:35:31.465000+00:00,2026-09-05T21:35:43.736000+00:00,12.3s,12.3,2,gameWindowFocusEvent:1; gameWindowUnfocusEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T21:35:50.512000+00:00,2026-09-05T21:35:50.512000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 2 Prod (Refactor),2026-09-05T21:35:52.550000+00:00,2026-09-05T22:14:18.640000+00:00,38m 26s,2306.1,3553,DialogueEvent:666; EndOfUnit:1; InputEvent:649; ObjectInterEvent:36; PlayerPositionEvent:226; PuzzlePieceVisibleEvent:1778; Soil Key Puzzle:12; TopographicMapEvent:39; argumentationAnswerEvent:9; argumentationEvent:2; argumentationNodeEvent:113; argumentationToolEvent:2; gameWindowFocusEvent:4; gameWindowUnfocusEvent:4; questEvent:12
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T22:14:53.941000+00:00,2026-09-05T22:15:01.451000+00:00,7.5s,7.5,3,gameStartEvent:1; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 3 Dev,2026-09-05T22:15:03.052000+00:00,2026-09-05T22:36:37.433000+00:00,21m 34s,1294.4,1248,DialogueEvent:347; InputEvent:580; ObjectInterEvent:6; PlayerPositionEvent:129; Soil Key Puzzle:12; TopographicMapEvent:4; argumentationAnswerEvent:6; argumentationEvent:3; argumentationNodeEvent:145; argumentationToolEvent:2; gameWindowFocusEvent:4; gameWindowUnfocusEvent:5; questEvent:5
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T22:36:47.675000+00:00,2026-09-05T22:36:47.675000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 3 Dev,2026-09-05T22:36:49.957000+00:00,2026-09-05T22:36:57.285000+00:00,7.3s,7.3,9,DEBUGMenu:2; DialogueEvent:3; InputEvent:1; PlayerPositionEvent:1; questEvent:2
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 3 Dungeon Dev,2026-09-05T22:36:59.238000+00:00,2026-09-05T22:45:36.032000+00:00,8m 36s,516.8,551,DialogueEvent:116; InputEvent:212; ObjectInterEvent:25; PlayerPositionEvent:52; PuzzlePieceVisibleEvent:138; gameWindowFocusEvent:3; gameWindowUnfocusEvent:3; questEvent:2
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 3 Dev,2026-09-05T22:45:38.070000+00:00,2026-09-05T22:51:13.189000+00:00,5m 35s,335.1,251,DialogueEvent:109; EndOfUnit:1; InputEvent:76; ObjectInterEvent:6; PlayerPositionEvent:31; TopographicMapEvent:22; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:4
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T22:51:39.635000+00:00,2026-09-05T22:51:39.635000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 4 Dev,2026-09-05T22:51:45.536000+00:00,2026-09-05T23:02:36.085000+00:00,10m 50s,650.5,1346,DialogueEvent:53; InputEvent:219; ObjectInterEvent:7; PlayerPositionEvent:66; PuzzlePieceVisibleEvent:948; Soil Key Puzzle:50; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 4 Dev - Dungeon,2026-09-05T23:02:37.733000+00:00,2026-09-05T23:20:38.040000+00:00,18m 0s,1080.3,764,DialogueEvent:99; InputEvent:424; ObjectInterEvent:87; PlayerPositionEvent:101; gameWindowFocusEvent:4; gameWindowUnfocusEvent:4; questEvent:9; soilMachine:36
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 4 Dev,2026-09-05T23:20:39.506000+00:00,2026-09-05T23:23:51.679000+00:00,3m 12s,192.2,233,DialogueEvent:79; InputEvent:33; ObjectInterEvent:2; PlayerPositionEvent:20; PuzzlePieceVisibleEvent:94; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:3
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 4 Dev - Anderson Base,2026-09-05T23:23:53.973000+00:00,2026-09-05T23:31:05.084000+00:00,7m 11s,431.1,499,DialogueEvent:135; InputEvent:30; ObjectInterEvent:9; PlayerPositionEvent:44; argumentationAnswerEvent:15; argumentationEvent:3; argumentationNodeEvent:257; gameWindowFocusEvent:2; gameWindowUnfocusEvent:2; questEvent:2
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 4 Dev,2026-09-05T23:31:19.340000+00:00,2026-09-05T23:35:43.749000+00:00,4m 24s,264.4,291,DialogueEvent:153; EndOfUnit:1; InputEvent:89; ObjectInterEvent:11; PlayerPositionEvent:27; TerasGardenBox:6; questEvent:4
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,MainMenu,2026-09-05T23:36:25.419000+00:00,2026-09-05T23:36:25.419000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 5 Dev - Dungeon,2026-09-05T23:36:27.269000+00:00,2026-09-05T23:52:53.651000+00:00,16m 26s,986.4,1285,DEBUGMenu:2; DialogueEvent:137; InputEvent:527; ObjectInterEvent:17; PlayerPositionEvent:99; PuzzlePieceVisibleEvent:452; WaterChamberEvent:43; chatEvent:1; questEvent:7
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,Unit 5 Dev,2026-09-05T23:53:07.703000+00:00,2026-09-06T00:00:16.993000+00:00,7m 9s,429.3,598,DialogueEvent:264; EndOfUnit:1; InputEvent:105; ObjectInterEvent:9; PlayerPositionEvent:43; SolarStillDesignEvent:4; argumentationAnswerEvent:12; argumentationEvent:2; argumentationNodeEvent:146; chatEvent:1; gameWindowFocusEvent:2; gameWindowUnfocusEvent:2; questEvent:7
wenyi090326-3.stratalog.logdata.json:6a9a0779e2ada9cb13ea75c0,<missing sceneName>,,,?,,3,crash:3
