eventType,n_intervals,interval_min_s,interval_p5_s,interval_p25_s,interval_median_s,interval_mean_s,interval_p75_s,interval_p95_s,interval_max_s,records_per_active_minute,burst_pairs,long_gaps
PuzzlePieceVisibleEvent,3243,0.0,0.0,0.0,0.033,16.125,0.103,0.667,46285.816,3.72,1966,4
InputEvent,2032,0.0,0.066,0.199,0.401,28.83,1.068,11.724,45409.539,2.08,93,3
DialogueEvent,1654,0.0,0.001,0.003,0.665,35.431,2.101,17.159,45440.821,1.69,442,2
PlayerPositionEvent,1269,9.968,9.972,10.003,10.005,45.839,10.005,10.006,45397.766,1.31,0,1
ObjectInterEvent,252,0.0,1.405,2.136,3.802,232.678,10.968,174.098,46170.331,0.26,4,4
argumentationNodeEvent,124,0.031,0.033,0.067,0.35,419.633,1.26,11.119,48990.998,0.14,24,3
questEvent,63,0.001,0.001,4.986,62.356,927.403,181.492,569.944,45589.272,0.06,10,3
Soil Key Puzzle,37,0.133,0.167,0.359,0.534,1364.53,2.2,1596.751,46167.363,0.04,0,3
gameWindowUnfocusEvent,24,0.0,5.613,110.029,405.531,2430.831,959.036,4267.33,41230.904,0.02,1,9
gameWindowFocusEvent,23,7.15,12.292,133.099,369.552,2536.815,554.253,4493.26,45675.335,0.02,0,5
TopographicMapEvent,21,0.004,0.031,0.2,2.771,2393.835,129.394,1362.914,46966.578,0.03,4,4
argumentationEvent,11,0.031,0.032,7.287,30.681,4729.958,379.174,25587.553,48987.264,0.01,2,3
argumentationToolEvent,7,0.434,0.484,0.65,0.967,7113.505,387.029,34536.657,49017.777,0.01,0,2
gameStartEvent,6,341.311,491.548,958.343,1204.884,9741.209,4736.882,38141.378,48905.797,0.01,0,5
TerasGardenBox,5,1.334,1.401,1.667,2.435,7.81,15.908,17.346,17.705,7.68,0,0
argumentationAnswerEvent,4,21.71,132.206,574.189,1491.905,13005.866,13923.582,41999.072,49017.945,0.0,0,3
soilMachine,4,7.404,9.22,16.483,31.396,31.613,46.525,54.309,56.255,1.9,0,0
EndOfUnit,3,1551.574,1579.941,1693.409,1835.243,17435.971,25378.169,44212.51,48921.095,0.0,0,3
DEBUGMenu,1,2.472,2.472,2.472,2.472,2.472,2.472,2.472,2.472,24.27,0,0
DaniEvent,1,45387.762,45387.762,45387.762,45387.762,45387.762,45387.762,45387.762,45387.762,0.0,0,1
crash,0,,,,,,,,,0.0,0,0
chatEvent,0,,,,,,,,,0.0,0,0
