eventType,field_path,value,type,count,value_list_truncated
DEBUGMenu,data.actionType,"""DebugMenuStateChanged""",string,13,False
DEBUGMenu,data.isOpened,false,bool,13,False
DaniEvent,data.actionType,"""Close""",string,1,False
DaniEvent,data.actionType,"""Open""",string,1,False
DaniEvent,data.toolName,"""""",string,2,False
DialogueEvent,data.conversationId,18,number,175,False
DialogueEvent,data.conversationId,11,number,143,False
DialogueEvent,data.conversationId,10,number,133,False
DialogueEvent,data.conversationId,82,number,120,False
DialogueEvent,data.conversationId,91,number,109,False
DialogueEvent,data.conversationId,92,number,89,False
DialogueEvent,data.conversationId,79,number,83,False
DialogueEvent,data.conversationId,21,number,73,False
DialogueEvent,data.conversationId,26,number,70,False
DialogueEvent,data.conversationId,30,number,66,False
DialogueEvent,data.conversationId,95,number,65,False
DialogueEvent,data.conversationId,31,number,56,False
DialogueEvent,data.conversationId,20,number,55,False
DialogueEvent,data.conversationId,28,number,54,False
DialogueEvent,data.conversationId,19,number,46,False
DialogueEvent,data.conversationId,99,number,46,False
DialogueEvent,data.conversationId,90,number,43,False
DialogueEvent,data.conversationId,105,number,39,False
DialogueEvent,data.conversationId,109,number,38,False
DialogueEvent,data.conversationId,73,number,38,False
DialogueEvent,data.conversationId,23,number,37,False
DialogueEvent,data.conversationId,98,number,37,False
DialogueEvent,data.conversationId,27,number,35,False
DialogueEvent,data.conversationId,117,number,33,False
DialogueEvent,data.conversationId,103,number,31,False
DialogueEvent,data.conversationId,118,number,30,False
DialogueEvent,data.conversationId,84,number,28,False
DialogueEvent,data.conversationId,102,number,27,False
DialogueEvent,data.conversationId,74,number,27,False
DialogueEvent,data.conversationId,104,number,25,False
DialogueEvent,data.conversationId,33,number,25,False
DialogueEvent,data.conversationId,108,number,24,False
DialogueEvent,data.conversationId,68,number,24,False
DialogueEvent,data.conversationId,88,number,24,False
DialogueEvent,data.conversationId,22,number,23,False
DialogueEvent,data.conversationId,78,number,23,False
DialogueEvent,data.conversationId,100,number,22,False
DialogueEvent,data.conversationId,96,number,20,False
DialogueEvent,data.conversationId,75,number,18,False
DialogueEvent,data.conversationId,107,number,14,False
DialogueEvent,data.conversationId,35,number,14,False
DialogueEvent,data.conversationId,36,number,13,False
DialogueEvent,data.conversationId,114,number,12,False
DialogueEvent,data.conversationId,116,number,12,False
DialogueEvent,data.conversationId,32,number,12,False
DialogueEvent,data.conversationId,17,number,11,False
DialogueEvent,data.conversationId,15,number,9,False
DialogueEvent,data.conversationId,8,number,9,False
DialogueEvent,data.conversationId,83,number,9,False
DialogueEvent,data.conversationId,37,number,7,False
DialogueEvent,data.conversationId,70,number,7,False
DialogueEvent,data.conversationId,106,number,5,False
DialogueEvent,data.conversationId,101,number,4,False
DialogueEvent,data.conversationId,111,number,3,False
DialogueEvent,data.conversationId,13,number,3,False
DialogueEvent,data.conversationId,16,number,3,False
DialogueEvent,data.conversationId,12,number,2,False
DialogueEvent,data.dialogueEventType,"""DialogueNodeEvent""",string,1347,False
DialogueEvent,data.dialogueEventType,"""DialogueStartEvent""",string,430,False
DialogueEvent,data.dialogueEventType,"""DialogueFinishEvent""",string,426,False
DialogueEvent,data.nodeId,0,number,59,True
DialogueEvent,data.nodeId,1,number,37,True
DialogueEvent,data.nodeId,7,number,29,True
DialogueEvent,data.nodeId,25,number,28,True
DialogueEvent,data.nodeId,2,number,27,True
DialogueEvent,data.nodeId,37,number,26,True
DialogueEvent,data.nodeId,4,number,22,True
DialogueEvent,data.nodeId,5,number,22,True
DialogueEvent,data.nodeId,10,number,21,True
DialogueEvent,data.nodeId,8,number,21,True
DialogueEvent,data.nodeId,26,number,20,True
DialogueEvent,data.nodeId,12,number,19,True
DialogueEvent,data.nodeId,15,number,18,True
DialogueEvent,data.nodeId,20,number,18,True
DialogueEvent,data.nodeId,3,number,18,True
DialogueEvent,data.nodeId,17,number,16,True
DialogueEvent,data.nodeId,32,number,16,True
DialogueEvent,data.nodeId,6,number,16,True
DialogueEvent,data.nodeId,22,number,15,True
DialogueEvent,data.nodeId,24,number,15,True
DialogueEvent,data.nodeId,29,number,15,True
DialogueEvent,data.nodeId,33,number,15,True
DialogueEvent,data.nodeId,9,number,15,True
DialogueEvent,data.nodeId,13,number,14,True
DialogueEvent,data.nodeId,21,number,14,True
DialogueEvent,data.nodeId,27,number,14,True
DialogueEvent,data.nodeId,34,number,14,True
DialogueEvent,data.nodeId,39,number,14,True
DialogueEvent,data.nodeId,64,number,14,True
DialogueEvent,data.nodeId,19,number,13,True
DialogueEvent,data.nodeId,31,number,13,True
DialogueEvent,data.nodeId,35,number,13,True
DialogueEvent,data.nodeId,36,number,13,True
DialogueEvent,data.nodeId,65,number,13,True
DialogueEvent,data.nodeId,11,number,12,True
DialogueEvent,data.nodeId,14,number,12,True
DialogueEvent,data.nodeId,16,number,12,True
DialogueEvent,data.nodeId,18,number,12,True
DialogueEvent,data.nodeId,28,number,12,True
DialogueEvent,data.nodeId,41,number,12,True
DialogueEvent,data.nodeId,23,number,11,True
DialogueEvent,data.nodeId,138,number,10,True
DialogueEvent,data.nodeId,38,number,10,True
DialogueEvent,data.nodeId,61,number,10,True
DialogueEvent,data.nodeId,69,number,10,True
DialogueEvent,data.nodeId,30,number,9,True
DialogueEvent,data.nodeId,42,number,9,True
DialogueEvent,data.nodeId,46,number,9,True
DialogueEvent,data.nodeId,50,number,9,True
DialogueEvent,data.nodeId,60,number,9,True
DialogueEvent,data.nodeId,63,number,9,True
DialogueEvent,data.nodeId,141,number,8,True
DialogueEvent,data.nodeId,40,number,8,True
DialogueEvent,data.nodeId,48,number,8,True
DialogueEvent,data.nodeId,55,number,8,True
DialogueEvent,data.nodeId,58,number,8,True
DialogueEvent,data.nodeId,59,number,8,True
DialogueEvent,data.nodeId,67,number,8,True
DialogueEvent,data.nodeId,73,number,8,True
DialogueEvent,data.nodeId,49,number,7,True
EndOfUnit,data.Unit,"""1""",string,1,False
EndOfUnit,data.Unit,"""2""",string,1,False
EndOfUnit,data.Unit,"""3""",string,1,False
EndOfUnit,data.Unit,"""4""",string,1,False
EndOfUnit,data.Unit,"""5""",string,1,False
InputEvent,data.Value,"""pressed""",string,2744,False
InputEvent,data.actionType,"""Move""",string,1912,False
InputEvent,data.actionType,"""Interact""",string,522,False
InputEvent,data.actionType,"""Sprint""",string,222,False
InputEvent,data.actionType,"""Jump""",string,29,False
InputEvent,data.actionType,"""Ascend""",string,26,False
InputEvent,data.actionType,"""Hoverboard""",string,13,False
InputEvent,data.actionType,"""Descend""",string,10,False
InputEvent,data.actionType,"""Map""",string,10,False
InputEvent,data.key,"""w""",string,699,False
InputEvent,data.key,"""leftButton""",string,484,False
InputEvent,data.key,"""a""",string,462,False
InputEvent,data.key,"""s""",string,377,False
InputEvent,data.key,"""d""",string,374,False
InputEvent,data.key,"""leftShift""",string,232,False
InputEvent,data.key,"""e""",string,47,False
InputEvent,data.key,"""space""",string,46,False
InputEvent,data.key,"""h""",string,11,False
InputEvent,data.key,"""m""",string,10,False
InputEvent,data.key,"""""",string,2,False
InputEvent,data.playerOrDrone,"""Player""",string,2408,False
InputEvent,data.playerOrDrone,"""Drone""",string,336,False
ObjectInterEvent,data.actionType,"""Press E to Pick up""",string,57,False
ObjectInterEvent,data.actionType,"""Press E to Switch Canister""",string,41,False
ObjectInterEvent,data.actionType,"""Press E to Place""",string,26,False
ObjectInterEvent,data.actionType,"""Press E To Place Glyph""",string,14,False
ObjectInterEvent,data.actionType,"""Press E to Install""",string,11,False
ObjectInterEvent,data.actionType,"""Press E to Scan""",string,11,False
ObjectInterEvent,data.actionType,"""Press E To Place Cube In Canal""",string,8,False
ObjectInterEvent,data.actionType,"""Press E To Place Cameras""",string,6,False
ObjectInterEvent,data.actionType,"""Press E to examine""",string,6,False
ObjectInterEvent,data.actionType,"""Place Cube""",string,5,False
ObjectInterEvent,data.actionType,"""Press E to Pick Up""",string,5,False
ObjectInterEvent,data.actionType,"""Press E to inspect """,string,5,False
ObjectInterEvent,data.actionType,"""Press E to use""",string,5,False
ObjectInterEvent,data.actionType,"""TalkTo""",string,5,False
ObjectInterEvent,data.actionType,"""Press E to Operate""",string,4,False
ObjectInterEvent,data.actionType,"""Press E to Plant Seed""",string,4,False
ObjectInterEvent,data.actionType,"""E to Talk""",string,3,False
ObjectInterEvent,data.actionType,"""Press E To Collect Pipe""",string,3,False
ObjectInterEvent,data.actionType,"""Press E To Scan""",string,3,False
ObjectInterEvent,data.actionType,"""Press E to Place Pipe Segment""",string,3,False
ObjectInterEvent,data.actionType,"""Push E To Grab Crate""",string,3,False
ObjectInterEvent,data.actionType,"""Press E""",string,2,False
ObjectInterEvent,data.actionType,"""Press E To Change Direction""",string,2,False
ObjectInterEvent,data.actionType,"""Press E To Return To Base""",string,2,False
ObjectInterEvent,data.actionType,"""Press E to Open Locker""",string,2,False
ObjectInterEvent,data.actionType,"""Press E to Pickup Canister""",string,2,False
ObjectInterEvent,data.actionType,"""Press E to pick up""",string,2,False
ObjectInterEvent,data.actionType,"""Press E to place canister""",string,2,False
ObjectInterEvent,data.actionType,"""Inspect Alien Glyph""",string,1,False
ObjectInterEvent,data.actionType,"""Press E To Pick Up""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to Collect""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to Insert""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to collect broccoli""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to collect cameras""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to collect peas""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to collect potatoes""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to deactivate the fountain""",string,1,False
ObjectInterEvent,data.actionType,"""Press E to place""",string,1,False
ObjectInterEvent,data.actionType,"""Press [E/Action button] to enter escape pod """,string,1,False
ObjectInterEvent,data.actionType,"""Push E To Place Crate On Hoverboard""",string,1,False
ObjectInterEvent,data.objectName,"""Powercube""",string,32,True
ObjectInterEvent,data.objectName,"""CLAY""",string,14,True
ObjectInterEvent,data.objectName,"""BEDROCK""",string,13,True
ObjectInterEvent,data.objectName,"""Power Dock""",string,11,True
ObjectInterEvent,data.objectName,"""Glyph Dock B""",string,7,True
ObjectInterEvent,data.objectName,"""Glyph Dock D""",string,6,True
ObjectInterEvent,data.objectName,"""Glyph Socket 6""",string,5,True
ObjectInterEvent,data.objectName,"""Soil View""",string,5,True
ObjectInterEvent,data.objectName,"""Topography Piece 4""",string,5,True
ObjectInterEvent,data.objectName,"""CLAY (Lower)""",string,4,True
ObjectInterEvent,data.objectName,"""Garden Plot (Normal)""",string,4,True
ObjectInterEvent,data.objectName,"""Glyph Socket 1""",string,4,True
ObjectInterEvent,data.objectName,"""Glyph Socket 2""",string,4,True
ObjectInterEvent,data.objectName,"""Glyph Socket 3""",string,4,True
ObjectInterEvent,data.objectName,"""Glyph Socket 4""",string,4,True
ObjectInterEvent,data.objectName,"""Glyph Socket 5""",string,4,True
ObjectInterEvent,data.objectName,"""SAND""",string,4,True
ObjectInterEvent,data.objectName,"""Topography Piece 1""",string,4,True
ObjectInterEvent,data.objectName,"""Topography Piece 2""",string,4,True
ObjectInterEvent,data.objectName,"""Topography Piece 3""",string,4,True
ObjectInterEvent,data.objectName,"""Topography Piece 5""",string,4,True
ObjectInterEvent,data.objectName,"""Topography Piece 6""",string,4,True
ObjectInterEvent,data.objectName,"""Use Elevator""",string,4,True
ObjectInterEvent,data.objectName,"""BEDROCK (Lower)""",string,3,True
ObjectInterEvent,data.objectName,"""GRAVEL""",string,3,True
ObjectInterEvent,data.objectName,"""Missing Piece""",string,3,True
ObjectInterEvent,data.objectName,"""Pipe""",string,3,True
ObjectInterEvent,data.objectName,"""Supply Crate""",string,3,True
ObjectInterEvent,data.objectName,"""Animal Tracks""",string,2,True
ObjectInterEvent,data.objectName,"""Aryn""",string,2,True
ObjectInterEvent,data.objectName,"""Garden Box 1""",string,2,True
ObjectInterEvent,data.objectName,"""Garden Box 2""",string,2,True
ObjectInterEvent,data.objectName,"""Garden Box 3""",string,2,True
ObjectInterEvent,data.objectName,"""Glyph Dock C""",string,2,True
ObjectInterEvent,data.objectName,"""Jasper""",string,2,True
ObjectInterEvent,data.objectName,"""Player Locker""",string,2,True
ObjectInterEvent,data.objectName,"""Soil Key Puzzle Soil""",string,2,True
ObjectInterEvent,data.objectName,"""Soil Machine""",string,2,True
ObjectInterEvent,data.objectName,"""Storage Pool""",string,2,True
ObjectInterEvent,data.objectName,"""Toppo""",string,2,True
ObjectInterEvent,data.objectName,"""Alien Glyph""",string,1,True
ObjectInterEvent,data.objectName,"""Anderson""",string,1,True
ObjectInterEvent,data.objectName,"""Canal (Wing 1)""",string,1,True
ObjectInterEvent,data.objectName,"""Crash Pod""",string,1,True
ObjectInterEvent,data.objectName,"""Eastern Ocean""",string,1,True
ObjectInterEvent,data.objectName,"""Eastern River Distance""",string,1,True
ObjectInterEvent,data.objectName,"""Eastern River Salinity""",string,1,True
ObjectInterEvent,data.objectName,"""Eastern River Waterfall Flow""",string,1,True
ObjectInterEvent,data.objectName,"""Eastern River Waterfall Height""",string,1,True
ObjectInterEvent,data.objectName,"""Glyph Dock 4""",string,1,True
ObjectInterEvent,data.objectName,"""Sensors Crate""",string,1,True
ObjectInterEvent,data.objectName,"""Soil Key""",string,1,True
ObjectInterEvent,data.objectName,"""Soil Key Puzzle Soil Key Room""",string,1,True
ObjectInterEvent,data.objectName,"""Soil Key Puzzle Soil Outside Temple""",string,1,True
ObjectInterEvent,data.objectName,"""Supply Crate 1""",string,1,True
ObjectInterEvent,data.objectName,"""Tera""",string,1,True
ObjectInterEvent,data.objectName,"""Western River Distance""",string,1,True
ObjectInterEvent,data.objectName,"""Western River Salinity""",string,1,True
ObjectInterEvent,data.objectName,"""Western River Waterfall Flow""",string,1,True
ObjectInterEvent,data.objectName,"""Western River Waterfall Height""",string,1,True
PlayerPositionEvent,data.position.x,1399.80066,number,107,True
PlayerPositionEvent,data.position.x,355.408,number,85,True
PlayerPositionEvent,data.position.x,-1.92,number,72,True
PlayerPositionEvent,data.position.x,1421.128,number,65,True
PlayerPositionEvent,data.position.x,1414.14746,number,61,True
PlayerPositionEvent,data.position.x,18.891,number,32,True
PlayerPositionEvent,data.position.x,-98.56496,number,31,True
PlayerPositionEvent,data.position.x,-16.5110455,number,29,True
PlayerPositionEvent,data.position.x,330.338135,number,28,True
PlayerPositionEvent,data.position.x,-15.9253988,number,25,True
PlayerPositionEvent,data.position.x,784.2,number,25,True
PlayerPositionEvent,data.position.x,-97.99801,number,24,True
PlayerPositionEvent,data.position.x,-94.31339,number,23,True
PlayerPositionEvent,data.position.x,1046.29272,number,22,True
PlayerPositionEvent,data.position.x,787.31,number,22,True
PlayerPositionEvent,data.position.x,25.2871342,number,17,True
PlayerPositionEvent,data.position.x,35.9441833,number,17,True
PlayerPositionEvent,data.position.x,1108.38123,number,16,True
PlayerPositionEvent,data.position.x,1537.72473,number,16,True
PlayerPositionEvent,data.position.x,958.406433,number,16,True
PlayerPositionEvent,data.position.x,-336.71,number,15,True
PlayerPositionEvent,data.position.x,-93.4335251,number,15,True
PlayerPositionEvent,data.position.x,1549.8479,number,15,True
PlayerPositionEvent,data.position.x,-1.21600008,number,14,True
