eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:100:44,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-01T00:23:59.7480000Z,2026-09-01T00:23:59.7480000Z,6a961b1f485cab4c953dd61b,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:0,dialogue,4,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:53.2130000Z,2026-08-31T23:33:16.4580000Z,6a960f25485cab4c953db7f7,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:1,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:53.2160000Z,2026-08-31T23:32:53.2160000Z,6a960f25485cab4c953db7fb,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:12,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:33:06.2690000Z,2026-08-31T23:33:06.2690000Z,6a960f32485cab4c953db819,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:15,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:33:07.0690000Z,2026-08-31T23:33:07.0690000Z,6a960f32485cab4c953db81b,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:16,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:33:07.4700000Z,2026-08-31T23:33:07.4700000Z,6a960f33485cab4c953db81d,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:17,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:33:09.7070000Z,2026-08-31T23:33:09.7070000Z,6a960f35485cab4c953db82f,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:19,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:33:13.1390000Z,2026-08-31T23:33:13.1390000Z,6a960f38485cab4c953db831,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:2,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:56.2970000Z,2026-08-31T23:32:56.2970000Z,6a960f28485cab4c953db7ff,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:103:22,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:33:13.7060000Z,2026-08-31T23:33:13.7060000Z,6a960f39485cab4c953db835,wenyi083126-1.stratalog.logdata.json
