eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:100:44,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-08-25T18:47:20.5530000Z,2026-08-25T18:47:20.5530000Z,6a8de337485cab4c953c2542,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:0,dialogue,4,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:30.9100000Z,2026-08-25T17:36:00.7080000Z,6a8dd261485cab4c953c0a80,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:1,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:30.9130000Z,2026-08-25T17:35:30.9130000Z,6a8dd262485cab4c953c0a84,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:12,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:47.7340000Z,2026-08-25T17:35:47.7340000Z,6a8dd272485cab4c953c0aa6,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:15,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:48.9350000Z,2026-08-25T17:35:48.9350000Z,6a8dd274485cab4c953c0aa8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:16,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:49.9700000Z,2026-08-25T17:35:49.9700000Z,6a8dd275485cab4c953c0aaa,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:17,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:52.4400000Z,2026-08-25T17:35:52.4400000Z,6a8dd277485cab4c953c0aba,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:19,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:57.4390000Z,2026-08-25T17:35:57.4390000Z,6a8dd27c485cab4c953c0abc,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:2,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:33.5280000Z,2026-08-25T17:35:33.5280000Z,6a8dd264485cab4c953c0a86,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:22,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:58.1720000Z,2026-08-25T17:35:58.1720000Z,6a8dd27d485cab4c953c0ac0,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:24,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:58.2910000Z,2026-08-25T17:35:58.2910000Z,6a8dd27d485cab4c953c0ac2,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:25,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:36:00.7110000Z,2026-08-25T17:36:00.7110000Z,6a8dd27f485cab4c953c0ad6,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:26,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:36:01.5910000Z,2026-08-25T17:36:01.5910000Z,6a8dd280485cab4c953c0ad8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:27,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:36:01.7580000Z,2026-08-25T17:36:01.7580000Z,6a8dd280485cab4c953c0ada,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:28,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:36:05.5010000Z,2026-08-25T17:36:05.5010000Z,6a8dd284485cab4c953c0ade,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:31,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:36:06.7130000Z,2026-08-25T17:36:06.7130000Z,6a8dd285485cab4c953c0ae4,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:32,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:36:06.5770000Z,2026-08-25T17:36:06.5770000Z,6a8dd285485cab4c953c0ae0,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:4,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:34.1780000Z,2026-08-25T17:35:34.1780000Z,6a8dd265485cab4c953c0a88,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:5,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:36.1790000Z,2026-08-25T17:35:36.1790000Z,6a8dd267485cab4c953c0a8a,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:7,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:36.9800000Z,2026-08-25T17:35:36.9800000Z,6a8dd268485cab4c953c0a8c,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:8,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:40.5520000Z,2026-08-25T17:35:40.5520000Z,6a8dd26b485cab4c953c0aa0,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:103:9,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:41.8310000Z,2026-08-25T17:35:41.8310000Z,6a8dd26c485cab4c953c0aa2,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:1,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:19.0540000Z,2026-08-25T18:11:19.0540000Z,6a8ddac6485cab4c953c1708,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:10,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:30.1240000Z,2026-08-25T18:11:30.1240000Z,6a8ddad1485cab4c953c171a,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:12,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:31.8590000Z,2026-08-25T18:11:31.8590000Z,6a8ddad2485cab4c953c171c,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:13,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:02.0780000Z,2026-08-25T18:11:02.0780000Z,6a8ddab5485cab4c953c16ec,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:14,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:02.9940000Z,2026-08-25T18:11:02.9940000Z,6a8ddab6485cab4c953c16f0,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:15,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:05.5120000Z,2026-08-25T18:11:05.5120000Z,6a8ddab8485cab4c953c16f4,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:17,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:06.2960000Z,2026-08-25T18:11:06.2960000Z,6a8ddab9485cab4c953c16f6,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:18,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:08.6470000Z,2026-08-25T18:11:08.6470000Z,6a8ddabb485cab4c953c16f8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:2,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:24.7550000Z,2026-08-25T18:11:24.7550000Z,6a8ddacb485cab4c953c170e,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:20,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:09.4470000Z,2026-08-25T18:11:09.4470000Z,6a8ddabc485cab4c953c16fa,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:22,dialogue,1,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:09.6150000Z,2026-08-25T18:11:09.6150000Z,6a8ddabc485cab4c953c16fc,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:104:23,dialogue,2,DialogueEvent,Unit 3 Dev,2026-08-25T18:11:38.1620000Z,2026-08-25T18:11:52.4020000Z,6a8ddad9485cab4c953c172c,wenyi082526-1.stratalog.logdata.json
