eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:100:0,dialogue,5,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:41:31.7460000Z,2026-09-05T23:43:04.2900000Z,6a9ca8ab485cab4c954047bc,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:34,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:41:31.7790000Z,2026-09-05T23:41:31.7790000Z,6a9ca8ab485cab4c954047c0,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:35,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:41:56.4900000Z,2026-09-05T23:41:56.4900000Z,6a9ca8c4485cab4c9540488a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:37,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:42:18.8340000Z,2026-09-05T23:42:18.8340000Z,6a9ca8da485cab4c95404958,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:39,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:42:39.9110000Z,2026-09-05T23:42:39.9110000Z,6a9ca8ef485cab4c95404a40,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:40,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:42:43.5450000Z,2026-09-05T23:42:43.5450000Z,6a9ca8f3485cab4c95404a4a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:41,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:42:44.2790000Z,2026-09-05T23:42:44.2790000Z,6a9ca8f4485cab4c95404a4c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:43,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:43:04.3210000Z,2026-09-05T23:43:04.3210000Z,6a9ca908485cab4c95404ae4,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:44,dialogue,1,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:43:23.7660000Z,2026-09-05T23:43:23.7660000Z,6a9ca91b485cab4c95404b80,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:100:46,dialogue,2,DialogueEvent,Unit 5 Dev - Dungeon,2026-09-05T23:42:44.7470000Z,2026-09-05T23:43:06.8570000Z,6a9ca8f4485cab4c95404a4e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:101:0,dialogue,3,DialogueEvent,Unit 4 Dev - Anderson Base;Unit 3 Dev,2026-09-05T22:30:50.2630000Z,2026-09-05T23:28:31.9950000Z,6a9c981a485cab4c95402600,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:101:1,dialogue,3,DialogueEvent,Unit 4 Dev - Anderson Base;Unit 3 Dev,2026-09-05T22:30:50.2970000Z,2026-09-05T23:28:32.0280000Z,6a9c981a485cab4c95402604,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:0,dialogue,5,DialogueEvent,Unit 4 Dev,2026-09-05T22:59:59.0470000Z,2026-09-05T23:01:31.1900000Z,6a9c9eee485cab4c95403104,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:10,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T23:00:54.0040000Z,2026-09-05T23:00:54.0040000Z,6a9c9f25485cab4c95403404,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:12,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T23:01:17.6490000Z,2026-09-05T23:01:17.6490000Z,6a9c9f3d485cab4c95403554,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:14,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T23:00:05.7210000Z,2026-09-05T23:00:05.7210000Z,6a9c9ef8485cab4c9540315c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:15,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T23:00:35.7300000Z,2026-09-05T23:00:35.7300000Z,6a9c9f13485cab4c954032e0,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:16,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T23:00:05.7170000Z,2026-09-05T23:00:05.7170000Z,6a9c9ef7485cab4c95403156,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:23,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T23:01:31.2230000Z,2026-09-05T23:01:31.2230000Z,6a9c9f4b485cab4c95403612,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:3,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T22:59:59.0800000Z,2026-09-05T22:59:59.0800000Z,6a9c9eee485cab4c95403108,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:102:7,dialogue,1,DialogueEvent,Unit 4 Dev,2026-09-05T23:00:27.4590000Z,2026-09-05T23:00:27.4590000Z,6a9c9f0b485cab4c95403296,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:103:0,dialogue,4,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:13:50.1240000Z,2026-09-05T22:14:13.6690000Z,6a9c941d485cab4c95401d30,wenyi090326-3.stratalog.logdata.json
